models/shot/datasets,,Cora,CiteSeer,Photo,cs,Computers
gcn,1,64.75±±1.98,57.46±±1.26,85.5±±2.58,88.17±±2.32,80.79±±3.69
gcn,3,79.58±±1.77,66.38±±1.67,94.71±±0.55,96.67±±0.3,93.25±±1.08
gcn,5,85.33±±1.1,71.54±±1.72,96.0±±0.25,96.67±±0.24,94.42±±0.74
gat,1,66.58±2.24,57.62±1.19,79.58±3.32,86.54±2.47,75.75±4.25
gat,3,78.92±1.86,67.75±1.87,93.54±0.71,95.54±0.34,90.83±1.63
gat,5,86.75±1.15,71.25±1.84,95.33±0.46,96.33±0.22,93.46±0.69
sage,1,66.71±2.01,59.13±1.09,71.71±2.35,87.92±2.24,61.88±1.64
sage,3,78.71±1.49,69.96±1.59,85.46±1.61,96.17±0.24,78.67±2.46
sage,5,85.29±0.98,72.75±1.82,92.08±0.73,96.62±0.22,88.92±1.61
