models/shot/datasets,,Cora,CiteSeer,Photo,cs,Computers
gcn,1,70.89±2.43,63.33±1.82,84.33±2.78,96.56±0.71,79.67±4.07
gcn,3,86.11±1.15,78.22±1.81,95.44±0.43,98.33±0.13,93.56±0.98
gcn,5,89.56±0.64,80.89±1.53,96.44±0.3,98.06±0.18,95.06±0.65
gat,1,68.56±2.79,60.72±1.61,54.5±4.44,86.72±2.45,50.94±3.77
gat,3,84.61±1.41,72.78±1.95,66.94±8.05,96.0±0.36,59.17±6.05
gat,5,88.22±0.97,77.83±1.77,69.5±7.73,96.06±0.36,72.28±7.26
sage,1,72.11±1.89,65.39±1.75,62.94±2.26,91.11±2.01,58.39±1.76
sage,3,83.11±1.23,73.78±2.34,73.94±3.2,96.5±0.27,69.44±2.82
sage,5,87.78±0.78,78.72±1.56,83.78±1.58,97.0±0.31,79.61±2.44
